,episode_rewards,episode_lengths
1044,-111.28043415803555,265
1045,-168.01535261181996,60
1046,-169.45184286840146,62
1047,-146.11164315112828,217
1048,-108.25056877632043,253
1049,-112.84219346806658,270
1050,-179.27475406053173,75
1051,-166.65446892703818,113
1052,-119.71116399036723,310
1053,-157.40879840762258,127
1054,-170.66009826914433,71
1055,-174.97397441259477,184
1056,-184.37878581353817,21
1057,-173.02359704602196,87
1058,-181.10998178776907,69
1059,-139.09554229868814,128
1060,-170.70832306550494,64
1061,-42.80478705549032,285
1062,-129.478438069098,197
1063,-118.91798598077565,180
1064,-150.6962792974016,139
1065,-167.43488554959447,52
1066,-168.08491814355816,59
1067,-54.36768752038628,323
