episode,avg_reward,avg_v,episode_time,distance_traveled
389,0.3137936104925136,2.3917086,37.248,4.489982604980469
390,-6.484281396989755,4.544563,37.295,1.1368683772161603e-13
391,-19.67113635724687,2.7399945,37.334,6.762077331542969
392,-7.7026591298713045,3.0169506,37.379,9.947598300641403e-14
393,-5.519057143846173,1.5671299,37.504,1.8198773922301764e-13
394,-6.762634189948146,2.4566092,37.544,1.2710575051245315e-13
395,0.4543171714377257,2.6682153,37.574,1.8198773922301764e-13
396,0.3946933516517438,2.347662,37.716,1.2710575051245315e-13
397,-2.3109534362651565,6.776797,37.804,1.1374233532032013e-13
398,0.6893150821920735,3.9314857,37.849,7.105427357601002e-15
399,-5.605920910163723,4.8426204,37.903,2.542115010249063e-13
400,-10.805202898898791,2.3538697,38.022,7.631234645843506
401,-2.475485578825508,2.6761253,38.111,1.607774650176294e-13
402,0.6456809942206936,4.02801,38.158,5.684341886080802e-14
403,-5.481534622472808,2.0180578,38.224,5.089344024658203
404,0.688806308421107,4.0317745,38.352,1.7975467577098503e-13
405,0.8589874746210427,5.0667214,38.408,7.585536003112793
406,-8.63613742648052,1.9649235,38.48,4.4396130109876364e-13
407,-5.924344882160488,5.9137473,38.548,5.212186813354492
408,-10.710737136766788,2.2583885,38.661,7.189661979675293
409,-4.729132151204834,4.0368824,38.734,4.889855881318184e-13
410,-10.715700511319271,3.0294182,38.779,1.607774650176294e-13
411,-10.823056035092826,2.356075,38.9,2.2737367544323206e-13
412,1.0381691904231116,3.298001,38.975,7.884738922119141
413,0.7411811477359134,3.1052427,39.021,1.1368683772161603e-13
414,-9.559107731341372,3.2961507,39.138,2.3437141442005094e-13
415,-33.099339260334645,1.9303117,39.188,5.61309814453125
416,0.6633363847404876,2.8669944,39.245,1.3406493254951302e-13
417,-3.482883323939045,6.2447815,39.303,1.1368683772161603e-13
418,-8.608189850852023,3.0107896,39.425,2.8421709430404007e-13
419,-17.885888825723217,2.1631162,39.471,2.842170943040401e-14
420,0.569778630444885,4.599865,39.53,2.6812986509902603e-13
421,0.5661268848219501,2.879218,39.669,6.190955638885498
422,-19.172665792094243,1.8016214,39.745,5.70459508895874
423,-11.774630267758848,3.2419138,39.804,1.5987211554602254e-14
424,0.6477805596202008,3.8416133,39.951,6.7103986740112305
425,-10.967230571142204,2.4953868,40.087,2.8421709430404007e-13
426,-5.407706435614857,2.4822266,40.141,5.684341886080802e-14
427,-8.593475020824137,3.039817,40.188,5.234621524810791
428,-3.3406830842955038,3.9889338,40.355,7.458922386169434
429,-21.795936942013398,2.1774955,40.397,2.2781733097221313e-13
430,-8.031421461642978,2.1419642,40.444,1.4210854715202004e-14
431,0.660318348192113,4.2712574,40.576,3.410605131648481e-13
432,0.5352095545732009,3.9672644,40.64,1.1718570721002547e-13
433,-7.230067152832165,3.3516438,40.701,2.542115010249063e-13
434,-7.437418228414932,4.0138416,40.898,3.3722944259643555
435,-3.114810315684044,4.4536695,41.002,2.2781733097221313e-13
436,-6.124154367813364,3.8345613,41.061,1.1368683772161603e-13
437,0.41837551656823474,2.5351434,41.172,27.484066009521484
438,-6.021223610994121,4.156017,41.229,1.1457157379941851e-13
439,0.35479227087219206,2.7163959,41.275,1.7053025658242404e-13
440,0.4009020015389031,2.5368807,41.411,6.464259624481201
441,-2.749890941354659,3.2375214,41.512,41.12839889526367
442,-3.237932241776647,2.5099936,41.589,1.1368683772161603e-13
443,-6.132712253203351,3.7553697,41.735,3.600417137145996
444,-3.9360919626320863,4.453305,41.805,2.3437141442005094e-13
445,0.7412540512970736,3.759899,41.87,1.607774650176294e-13
